ts: 2021-04-20 08:30:00.134498670, order_id, 2, side, BUY, price, 118.725, qty, 1,
ts: 2021-04-20 08:30:01.001799273, order_id, 5, side, BUY, price, 118.675, qty, 1,
ts: 2021-04-20 08:30:02.163834348, order_id, 9, side, BUY, price, 118.675, qty, 1,
ts: 2021-04-20 08:30:12.845867169, order_id, 28, side, SELL, price, 118.625, qty, 1,
ts: 2021-04-20 08:30:15.853032286, order_id, 32, side, BUY, price, 118.575, qty, 1,
ts: 2021-04-20 08:30:24.508146744, order_id, 44, side, SELL, price, 118.7, qty, 1,
ts: 2021-04-20 08:30:34.024911915, order_id, 48, side, SELL, price, 118.7, qty, 1,
ts: 2021-04-20 08:30:43.595930701, order_id, 51, side, BUY, price, 118.7, qty, 1,
ts: 2021-04-20 08:30:49.623701116, order_id, 63, side, BUY, price, 118.75, qty, 1,
ts: 2021-04-20 08:31:02.745921926, order_id, 68, side, SELL, price, 118.825, qty, 1,
ts: 2021-04-20 08:31:16.223297442, order_id, 73, side, SELL, price, 118.825, qty, 1,
ts: 2021-04-20 08:31:27.533698366, order_id, 77, side, SELL, price, 118.825, qty, 1,
ts: 2021-04-20 08:31:40.696939885, order_id, 81, side, BUY, price, 118.775, qty, 1,
ts: 2021-04-20 08:31:50.186248624, order_id, 87, side, SELL, price, 118.725, qty, 1,
ts: 2021-04-20 08:31:55.178645896, order_id, 88, side, SELL, price, 118.75, qty, 1,
ts: 2021-04-20 08:31:56.148821740, order_id, 89, side, SELL, price, 118.725, qty, 1,
ts: 2021-04-20 08:32:00.190285935, order_id, 90, side, SELL, price, 118.725, qty, 1,
ts: 2021-04-20 08:32:04.878564041, order_id, 93, side, BUY, price, 118.75, qty, 1,
ts: 2021-04-20 08:32:07.158243376, order_id, 96, side, BUY, price, 118.775, qty, 1,
ts: 2021-04-20 08:32:07.158291526, order_id, 96, side, BUY, price, 118.775, qty, 1,
ts: 2021-04-20 08:32:12.918411465, order_id, 99, side, BUY, price, 118.775, qty, 1,
ts: 2021-04-20 08:32:22.167603992, order_id, 103, side, BUY, price, 118.8, qty, 1,
ts: 2021-04-20 08:32:50.211433732, order_id, 109, side, BUY, price, 118.875, qty, 1,
ts: 2021-04-20 08:34:57.295824249, order_id, 170, side, SELL, price, 118.875, qty, 1,
ts: 2021-04-20 08:35:05.844376937, order_id, 171, side, BUY, price, 118.9, qty, 1,
ts: 2021-04-20 08:35:28.815828547, order_id, 174, side, SELL, price, 118.875, qty, 1,
ts: 2021-04-20 08:35:53.843311005, order_id, 185, side, SELL, price, 118.775, qty, 1,
ts: 2021-04-20 08:36:14.458552568, order_id, 192, side, SELL, price, 118.625, qty, 1,
ts: 2021-04-20 08:36:18.018903909, order_id, 201, side, SELL, price, 118.575, qty, 1,
ts: 2021-04-20 08:36:18.330236552, order_id, 204, side, SELL, price, 118.575, qty, 1,
ts: 2021-04-20 08:36:22.709362137, order_id, 208, side, SELL, price, 118.6, qty, 1,
ts: 2021-04-20 08:37:08.938158394, order_id, 210, side, BUY, price, 118.6, qty, 1,
ts: 2021-04-20 08:37:14.108460398, order_id, 226, side, BUY, price, 118.625, qty, 1,
ts: 2021-04-20 08:37:14.114974298, order_id, 227, side, BUY, price, 118.625, qty, 1,
ts: 2021-04-20 08:37:16.005322504, order_id, 229, side, BUY, price, 118.6, qty, 1,
ts: 2021-04-20 08:37:17.898984878, order_id, 230, side, BUY, price, 118.6, qty, 1,
ts: 2021-04-20 08:37:49.677238016, order_id, 240, side, BUY, price, 118.775, qty, 1,
ts: 2021-04-20 08:39:21.704393869, order_id, 273, side, SELL, price, 118.7, qty, 3,
ts: 2021-04-20 08:39:40.158779171, order_id, 279, side, BUY, price, 118.6, qty, 1,
ts: 2021-04-20 08:39:55.696105515, order_id, 277, side, SELL, price, 118.65, qty, 1,
ts: 2021-04-20 08:40:33.894277901, order_id, 280, side, SELL, price, 118.65, qty, 1,
ts: 2021-04-20 08:40:52.499744936, order_id, 282, side, SELL, price, 118.6, qty, 1,
ts: 2021-04-20 08:41:01.040991066, order_id, 286, side, BUY, price, 118.575, qty, 1,
ts: 2021-04-20 08:42:14.755352274, order_id, 276, side, SELL, price, 118.7, qty, 1,
ts: 2021-04-20 08:42:26.731689467, order_id, 287, side, SELL, price, 118.775, qty, 1,
ts: 2021-04-20 08:43:20.852505957, order_id, 289, side, BUY, price, 118.875, qty, 1,
ts: 2021-04-20 08:44:00.553644116, order_id, 292, side, SELL, price, 118.8, qty, 1,
ts: 2021-04-20 08:46:10.913403972, order_id, 298, side, BUY, price, 118.85, qty, 1,
ts: 2021-04-20 08:46:14.870491962, order_id, 306, side, SELL, price, 118.875, qty, 1,
ts: 2021-04-20 08:47:45.019936061, order_id, 319, side, BUY, price, 118.675, qty, 1,
ts: 2021-04-20 08:48:04.151077492, order_id, 330, side, BUY, price, 118.675, qty, 1,
ts: 2021-04-20 08:48:16.506191973, order_id, 342, side, BUY, price, 118.625, qty, 1,
ts: 2021-04-20 08:49:52.814341056, order_id, 357, side, BUY, price, 118.575, qty, 1,
